Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female
Language spoken most often at home,        Dravidian languages,,2450,,1165,,1290
Language spoken most often at home,          Kannada,,5,,5,,0
Language spoken most often at home,          Malayalam,,185,,90,,100
Language spoken most often at home,          Tamil,,2190,,1040,,1150
Language spoken most often at home,          Telugu,,75,,35,,35
Language spoken most often at home,          Dravidian languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Hmong-Mien languages,,0,,0,,0
Language spoken most often at home,        Indo-European languages,,49095,,23005,,26090
Language spoken most often at home,          Albanian,,425,,215,,215
Language spoken most often at home,          Armenian,,325,,145,,180
Language spoken most often at home,          Balto-Slavic languages,,15170,,7215,,7950
Language spoken most often at home,            Baltic languages,,60,,30,,30
Language spoken most often at home,              Latvian,,10,,5,,0
Language spoken most often at home,              Lithuanian,,55,,30,,25
Language spoken most often at home,            Slavic languages,,15105,,7185,,7920
Language spoken most often at home,              Belarusan,,15,,5,,5
Language spoken most often at home,              Bosnian,,20,,15,,10
Language spoken most often at home,              Bulgarian,,160,,65,,90
Language spoken most often at home,              Croatian,,175,,85,,90
Language spoken most often at home,              Czech,,10,,0,,5
Language spoken most often at home,              Macedonian,,125,,55,,70
Language spoken most often at home,              Polish,,575,,280,,290
Language spoken most often at home,              Russian,,13285,,6330,,6950
Language spoken most often at home,              Serbian,,260,,115,,140
Language spoken most often at home,              Serbo-Croatian,,15,,5,,5
Language spoken most often at home,              Slovak,,45,,25,,20
Language spoken most often at home,              Slovene (Slovenian),,40,,15,,20
Language spoken most often at home,              Ukrainian,,385,,175,,205
Language spoken most often at home,              Slavic languages; n.i.e.,,5,,0,,0
Language spoken most often at home,          Celtic languages,,0,,0,,0
Language spoken most often at home,            Scottish Gaelic,,0,,0,,0
Language spoken most often at home,            Welsh,,0,,0,,0
Language spoken most often at home,            Celtic languages; n.i.e.,,0,,0,,0
Language spoken most often at home,          Germanic languages,,180,,80,,95
Language spoken most often at home,            Afrikaans,,5,,5,,5
Language spoken most often at home,            Danish,,5,,0,,5
Language spoken most often at home,            Dutch,,5,,0,,5
Language spoken most often at home,            Frisian,,0,,0,,0
Language spoken most often at home,            German,,95,,40,,55
Language spoken most often at home,            Icelandic,,0,,0,,0
Language spoken most often at home,            Norwegian,,0,,0,,0
Language spoken most often at home,            Swedish,,5,,0,,5
Language spoken most often at home,            Vlaams (Flemish),,0,,0,,0
Language spoken most often at home,            Yiddish,,55,,30,,30
Language spoken most often at home,            Germanic languages; n.i.e.,,0,,0,,0
Language spoken most often at home,          Greek,,465,,215,,250
Language spoken most often at home,          Indo-Iranian languages,,13305,,6420,,6885
Language spoken most often at home,            Indo-Aryan languages,,8730,,4215,,4515
Language spoken most often at home,              Bengali,,235,,115,,120
Language spoken most often at home,              Gujarati,,1510,,700,,815
Language spoken most often at home,              Hindi,,790,,395,,395
Language spoken most often at home,              Kashmiri,,0,,0,,0
Language spoken most often at home,              Konkani,,5,,0,,0
Language spoken most often at home,              Marathi,,40,,15,,20
Language spoken most often at home,              Nepali,,5,,5,,0
Language spoken most often at home,              Oriya (Odia),,5,,5,,5
Language spoken most often at home,              Punjabi (Panjabi),,2690,,1335,,1355
Language spoken most often at home,              Sindhi,,40,,15,,20
Language spoken most often at home,              Sinhala (Sinhalese),,115,,55,,55
Language spoken most often at home,              Urdu,,3295,,1575,,1720
Language spoken most often at home,            Iranian languages,,4560,,2190,,2360
Language spoken most often at home,              Kurdish,,150,,80,,70
Language spoken most often at home,              Pashto,,50,,30,,25
Language spoken most often at home,              Persian (Farsi),,4350,,2085,,2270
Language spoken most often at home,            Indo-Iranian languages; n.i.e.,,25,,10,,10
Language spoken most often at home,          Italic (Romance) languages,,19225,,8720,,10505
Language spoken most often at home,            Catalan,,0,,0,,0
Language spoken most often at home,            Italian,,12745,,5620,,7130
Language spoken most often at home,            Portuguese,,1540,,745,,790
Language spoken most often at home,            Romanian,,1240,,590,,650
Language spoken most often at home,            Spanish,,3705,,1770,,1935
Language spoken most often at home,            Italic (Romance) languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Japanese,,60,,25,,35
Language spoken most often at home,        Kartvelian languages,,45,,25,,20
Language spoken most often at home,          Georgian,,45,,30,,15
Language spoken most often at home,        Korean,,3055,,1495,,1560
Language spoken most often at home,        Mongolic languages,,5,,5,,0
Language spoken most often at home,          Mongolian,,5,,5,,5
Language spoken most often at home,        Niger-Congo languages,,155,,65,,90
Language spoken most often at home,          Akan (Twi),,90,,40,,55
Language spoken most often at home,          Bamanankan,,0,,0,,0
Language spoken most often at home,          Edo,,0,,0,,0
Language spoken most often at home,          Ewe,,0,,0,,0
Language spoken most often at home,          Fulah (Pular; Pulaar; Fulfulde),,0,,0,,0
Language spoken most often at home,          Ga,,5,,0,,0
Language spoken most often at home,          Ganda,,0,,0,,0
Language spoken most often at home,          Igbo,,20,,10,,15
Language spoken most often at home,          Lingala,,0,,0,,0
Language spoken most often at home,          Rundi (Kirundi),,0,,0,,0
Language spoken most often at home,          Kinyarwanda (Rwanda),,0,,0,,0
Language spoken most often at home,          Shona,,0,,0,,5
Language spoken most often at home,          Swahili,,5,,5,,0
Language spoken most often at home,          Wolof,,0,,0,,0
Language spoken most often at home,          Yoruba,,25,,10,,15
Language spoken most often at home,          Niger-Congo languages; n.i.e.,,0,,0,,5
Language spoken most often at home,        Nilo-Saharan languages,,0,,5,,0
Language spoken most often at home,          Dinka,,0,,0,,0
Language spoken most often at home,          Nilo-Saharan languages; n.i.e.,,5,,5,,0
Language spoken most often at home,        Sign languages,,75,,50,,25
Language spoken most often at home,          American Sign Language,,10,,0,,5
Language spoken most often at home,          Quebec Sign Language,,0,,0,,0
Language spoken most often at home,          Sign languages; n.i.e,,70,,45,,20
Language spoken most often at home,        Sino-Tibetan languages,,12070,,5695,,6375
Language spoken most often at home,          Chinese languages,,12030,,5680,,6355
Language spoken most often at home,            Cantonese,,4405,,2015,,2390
Language spoken most often at home,            Hakka,,100,,50,,50
Language spoken most often at home,            Mandarin,,6955,,3340,,3615
Language spoken most often at home,            Min Dong,,5,,0,,0
Language spoken most often at home,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,295,,135,,160
Language spoken most often at home,            Wu (Shanghainese),,110,,55,,55
Language spoken most often at home,            Chinese; n.o.s.,,165,,75,,85
Language spoken most often at home,            Chinese languages; n.i.e.,,5,,5,,0
Language spoken most often at home,          Tibeto-Burman languages,,40,,20,,20
Language spoken most often at home,            Burmese,,35,,15,,20
Language spoken most often at home,            Karenic languages,,0,,0,,0
Language spoken most often at home,            Tibetan,,0,,0,,0
Language spoken most often at home,            Tibeto-Burman languages; n.i.e.,,5,,5,,0
Language spoken most often at home,        Tai-Kadai languages,,115,,50,,65
Language spoken most often at home,          Lao,,100,,45,,60
Language spoken most often at home,          Thai,,15,,5,,10
Language spoken most often at home,          Tai-Kadai languages; n.i.e,,0,,0,,0
Language spoken most often at home,        Turkic languages,,850,,430,,420
Language spoken most often at home,          Azerbaijani,,50,,25,,25
Language spoken most often at home,          Turkish,,770,,390,,380
Language spoken most often at home,          Uyghur,,0,,0,,0
Language spoken most often at home,          Uzbek,,10,,10,,0
Language spoken most often at home,          Turkic languages; n.i.e.,,20,,10,,10
Language spoken most often at home,        Uralic languages,,280,,125,,160
Language spoken most often at home,          Estonian,,15,,10,,5
Language spoken most often at home,          Finnish,,5,,0,,5
Language spoken most often at home,          Hungarian,,265,,120,,150
Language spoken most often at home,          Uralic languages; n.i.e.,,0,,0,,0
Language spoken most often at home,        Other languages; n.i.e.,,5,,5,,5
Language spoken most often at home,  Multiple responses,,30690,,14730,,15960
Language spoken most often at home,    English and French,,470,,220,,250
Language spoken most often at home,    English and non-official language,,29600,,14260,,15345
Language spoken most often at home,    French and non-official language,,95,,35,,60
Language spoken most often at home,    English; French and non-official language,,515,,210,,305
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,20,304640,,148590,,156055
Other language spoken regularly at home,  None,,218930,,107660,,111275
Other language spoken regularly at home,  English,,32495,,15865,,16630
Other language spoken regularly at home,  French,,1680,,715,,965
Other language spoken regularly at home,  Non-official language,,50060,,23695,,26365
Other language spoken regularly at home,    Aboriginal,,5,,5,,0
Other language spoken regularly at home,    Non-Aboriginal,,50055,,23690,,26360
Other language spoken regularly at home,  English and French,,210,,95,,120
Other language spoken regularly at home,  English and non-official language,,785,,390,,395
Other language spoken regularly at home,  French and non-official language,,475,,170,,305
Other language spoken regularly at home,  English; French and non-official language,,5,,5,,5
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,21,246655,,119055,,127605
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 100% data,,234815,,113310,,121505
Income of individuals in 2015,    Median total income in 2015 among recipients ($),,35540,,42197,,30444
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,,234855,,113325,,121530
Income of individuals in 2015,    Median after-tax income in 2015 among recipients ($),,32383,,37742,,28147
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 100% data,,214490,,105610,,108880
Income of individuals in 2015,    Median market income in 2015 among recipients ($),,35459,,42594,,29826
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 100% data,,163880,,70815,,93060
Income of individuals in 2015,    Median government transfers in 2015 among recipients ($),,2090,,860,,3219
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 100% data,,181470,,91375,,90095
Income of individuals in 2015,    Median employment income in 2015 among recipients ($),,38959,,45953,,33574
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,22,246660,,119100,,127560
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 25% sample data,,234735,,113270,,121465
Income of individuals in 2015,    Average total income in 2015 among recipients ($),,53441,,64479,,43147
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,,234755,,113280,,121480
